Player,Venue,Predicted Performance
Shubman Gill,"Brabourne Stadium, Mumbai",Excellent
Simarjeet Singh,"Brabourne Stadium, Mumbai",Bad
TA Boult,"Brabourne Stadium, Mumbai",Poor
TH David,"Brabourne Stadium, Mumbai",Average
TL Seifert,"Brabourne Stadium, Mumbai",Average
TS Mills,"Brabourne Stadium, Mumbai",Bad
Tilak Varma,"Brabourne Stadium, Mumbai",Average
UT Yadav,"Brabourne Stadium, Mumbai",Bad
V Kohli,"Brabourne Stadium, Mumbai",Average
VG Arora,"Brabourne Stadium, Mumbai",Bad
VR Iyer,"Brabourne Stadium, Mumbai",Poor
WP Saha,"Brabourne Stadium, Mumbai",Excellent
YBK Jaiswal,"Brabourne Stadium, Mumbai",Excellent
A Badoni,"Dr DY Patil Sports Academy, Mumbai",Poor
A Manohar,"Dr DY Patil Sports Academy, Mumbai",Average
A Nortje,"Dr DY Patil Sports Academy, Mumbai",Bad
A Tomar,"Dr DY Patil Sports Academy, Mumbai",Bad
AD Russell,"Dr DY Patil Sports Academy, Mumbai",Average
AK Markram,"Dr DY Patil Sports Academy, Mumbai",Average
AM Rahane,"Dr DY Patil Sports Academy, Mumbai",Poor
AR Patel,"Dr DY Patil Sports Academy, Mumbai",Bad
AS Joseph,"Dr DY Patil Sports Academy, Mumbai",Bad
AT Rayudu,"Dr DY Patil Sports Academy, Mumbai",Average
Abdul Samad,"Dr DY Patil Sports Academy, Mumbai",Bad
Abhishek Sharma,"Dr DY Patil Sports Academy, Mumbai",Excellent
Akash Deep,"Dr DY Patil Sports Academy, Mumbai",Bad
Anmolpreet Singh,"Dr DY Patil Sports Academy, Mumbai",Bad
Anuj Rawat,"Dr DY Patil Sports Academy, Mumbai",Bad
Arshdeep Singh,"Dr DY Patil Sports Academy, Mumbai",Bad
B Kumar,"Dr DY Patil Sports Academy, Mumbai",Bad
B Sai Sudharsan,"Dr DY Patil Sports Academy, Mumbai",Good
CJ Jordan,"Dr DY Patil Sports Academy, Mumbai",Bad
CV Varun,"Dr DY Patil Sports Academy, Mumbai",Poor
D Brevis,"Dr DY Patil Sports Academy, Mumbai",Bad
D Padikkal,"Dr DY Patil Sports Academy, Mumbai",Poor
D Pretorius,"Dr DY Patil Sports Academy, Mumbai",Average
DA Miller,"Dr DY Patil Sports Academy, Mumbai",Average
DA Warner,"Dr DY Patil Sports Academy, Mumbai",Poor
DJ Bravo,"Dr DY Patil Sports Academy, Mumbai",Bad
DJ Hooda,"Dr DY Patil Sports Academy, Mumbai",Average
DJ Mitchell,"Dr DY Patil Sports Academy, Mumbai",Poor
DJ Willey,"Dr DY Patil Sports Academy, Mumbai",Poor
DP Conway,"Dr DY Patil Sports Academy, Mumbai",Excellent
DR Sams,"Dr DY Patil Sports Academy, Mumbai",Bad
E Lewis,"Dr DY Patil Sports Academy, Mumbai",Bad
F du Plessis,"Dr DY Patil Sports Academy, Mumbai",Excellent
GJ Maxwell,"Dr DY Patil Sports Academy, Mumbai",Average
HE van der Dussen,"Dr DY Patil Sports Academy, Mumbai",Bad
HH Pandya,"Dr DY Patil Sports Academy, Mumbai",Excellent
HR Shokeen,"Dr DY Patil Sports Academy, Mumbai",Average
HV Patel,"Dr DY Patil Sports Academy, Mumbai",Bad
Harpreet Brar,"Dr DY Patil Sports Academy, Mumbai",Bad
Ishan Kishan,"Dr DY Patil Sports Academy, Mumbai",Good
JC Buttler,"Dr DY Patil Sports Academy, Mumbai",Excellent
JD Unadkat,"Dr DY Patil Sports Academy, Mumbai",Poor
JDS Neesham,"Dr DY Patil Sports Academy, Mumbai",Poor
JJ Bumrah,"Dr DY Patil Sports Academy, Mumbai",Bad
JM Bairstow,"Dr DY Patil Sports Academy, Mumbai",Poor
JM Sharma,"Dr DY Patil Sports Academy, Mumbai",Average
JO Holder,"Dr DY Patil Sports Academy, Mumbai",Poor
JR Hazlewood,"Dr DY Patil Sports Academy, Mumbai",Bad
K Kartikeya,"Dr DY Patil Sports Academy, Mumbai",Bad
K Rabada,"Dr DY Patil Sports Academy, Mumbai",Bad
KA Pollard,"Dr DY Patil Sports Academy, Mumbai",Poor
KD Karthik,"Dr DY Patil Sports Academy, Mumbai",Average
KH Pandya,"Dr DY Patil Sports Academy, Mumbai",Average
KK Ahmed,"Dr DY Patil Sports Academy, Mumbai",Bad
KL Rahul,"Dr DY Patil Sports Academy, Mumbai",Excellent
KR Sen,"Dr DY Patil Sports Academy, Mumbai",Bad
KS Bharat,"Dr DY Patil Sports Academy, Mumbai",Bad
KS Williamson,"Dr DY Patil Sports Academy, Mumbai",Average
Kuldeep Yadav,"Dr DY Patil Sports Academy, Mumbai",Bad
LH Ferguson,"Dr DY Patil Sports Academy, Mumbai",Bad
LS Livingstone,"Dr DY Patil Sports Academy, Mumbai",Average
Lalit Yadav,"Dr DY Patil Sports Academy, Mumbai",Average
M Ashwin,"Dr DY Patil Sports Academy, Mumbai",Bad
M Prasidh Krishna,"Dr DY Patil Sports Academy, Mumbai",Bad
M Shahrukh Khan,"Dr DY Patil Sports Academy, Mumbai",Average
MA Agarwal,"Dr DY Patil Sports Academy, Mumbai",Poor
MJ Santner,"Dr DY Patil Sports Academy, Mumbai",Poor
MK Pandey,"Dr DY Patil Sports Academy, Mumbai",Bad
MM Ali,"Dr DY Patil Sports Academy, Mumbai",Average
MP Stoinis,"Dr DY Patil Sports Academy, Mumbai",Average
MR Marsh,"Dr DY Patil Sports Academy, Mumbai",Excellent
MS Dhoni,"Dr DY Patil Sports Academy, Mumbai",Poor
MS Wade,"Dr DY Patil Sports Academy, Mumbai",Poor
Mohammed Siraj,"Dr DY Patil Sports Academy, Mumbai",Poor
N Pooran,"Dr DY Patil Sports Academy, Mumbai",Average
N Rana,"Dr DY Patil Sports Academy, Mumbai",Average
Navdeep Saini,"Dr DY Patil Sports Academy, Mumbai",Bad
OF Smith,"Dr DY Patil Sports Academy, Mumbai",Poor
P Simran Singh,"Dr DY Patil Sports Academy, Mumbai",Poor
PBB Rajapaksa,"Dr DY Patil Sports Academy, Mumbai",Average
PJ Cummins,"Dr DY Patil Sports Academy, Mumbai",Bad
PJ Sangwan,"Dr DY Patil Sports Academy, Mumbai",Bad
PP Shaw,"Dr DY Patil Sports Academy, Mumbai",Excellent
PVD Chameera,"Dr DY Patil Sports Academy, Mumbai",Bad
PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",Bad
Q de Kock,"Dr DY Patil Sports Academy, Mumbai",Excellent
R Ashwin,"Dr DY Patil Sports Academy, Mumbai",Average
R Dhawan,"Dr DY Patil Sports Academy, Mumbai",Bad
R Parag,"Dr DY Patil Sports Academy, Mumbai",Bad
R Powell,"Dr DY Patil Sports Academy, Mumbai",Bad
R Shepherd,"Dr DY Patil Sports Academy, Mumbai",Bad
R Tewatia,"Dr DY Patil Sports Academy, Mumbai",Poor
RA Bawa,"Dr DY Patil Sports Academy, Mumbai",Bad
RA Jadeja,"Dr DY Patil Sports Academy, Mumbai",Bad
RA Tripathi,"Dr DY Patil Sports Academy, Mumbai",Good
RD Chahar,"Dr DY Patil Sports Academy, Mumbai",Poor
RD Gaikwad,"Dr DY Patil Sports Academy, Mumbai",Poor
RG Sharma,"Dr DY Patil Sports Academy, Mumbai",Bad
RK Singh,"Dr DY Patil Sports Academy, Mumbai",Good
RP Meredith,"Dr DY Patil Sports Academy, Mumbai",Bad
RR Pant,"Dr DY Patil Sports Academy, Mumbai",Average
RV Patel,"Dr DY Patil Sports Academy, Mumbai",Bad
RV Uthappa,"Dr DY Patil Sports Academy, Mumbai",Good
Ramandeep Singh,"Dr DY Patil Sports Academy, Mumbai",Poor
Rashid Khan,"Dr DY Patil Sports Academy, Mumbai",Bad
Ravi Bishnoi,"Dr DY Patil Sports Academy, Mumbai",Bad
S Dhawan,"Dr DY Patil Sports Academy, Mumbai",Good
S Dube,"Dr DY Patil Sports Academy, Mumbai",Good
SA Yadav,"Dr DY Patil Sports Academy, Mumbai",Excellent
SE Rutherford,"Dr DY Patil Sports Academy, Mumbai",Average
SN Khan,"Dr DY Patil Sports Academy, Mumbai",Good
SN Thakur,"Dr DY Patil Sports Academy, Mumbai",Poor
SO Hetmyer,"Dr DY Patil Sports Academy, Mumbai",Average
SP Jackson,"Dr DY Patil Sports Academy, Mumbai",Bad
SP Narine,"Dr DY Patil Sports Academy, Mumbai",Bad
SS Iyer,"Dr DY Patil Sports Academy, Mumbai",Average
SS Prabhudessai,"Dr DY Patil Sports Academy, Mumbai",Average
SV Samson,"Dr DY Patil Sports Academy, Mumbai",Poor
SW Billings,"Dr DY Patil Sports Academy, Mumbai",Poor
Shahbaz Ahmed,"Dr DY Patil Sports Academy, Mumbai",Good
Shivam Mavi,"Dr DY Patil Sports Academy, Mumbai",Bad
Shubman Gill,"Dr DY Patil Sports Academy, Mumbai",Bad
TA Boult,"Dr DY Patil Sports Academy, Mumbai",Bad
TG Southee,"Dr DY Patil Sports Academy, Mumbai",Bad
TH David,"Dr DY Patil Sports Academy, Mumbai",Poor
Tilak Varma,"Dr DY Patil Sports Academy, Mumbai",Good
UT Yadav,"Dr DY Patil Sports Academy, Mumbai",Poor
Umran Malik,"Dr DY Patil Sports Academy, Mumbai",Bad
V Kohli,"Dr DY Patil Sports Academy, Mumbai",Poor
V Shankar,"Dr DY Patil Sports Academy, Mumbai",Bad
VG Arora,"Dr DY Patil Sports Academy, Mumbai",Bad
VR Iyer,"Dr DY Patil Sports Academy, Mumbai",Poor
WP Saha,"Dr DY Patil Sports Academy, Mumbai",Average
Washington Sundar,"Dr DY Patil Sports Academy, Mumbai",Poor
YBK Jaiswal,"Dr DY Patil Sports Academy, Mumbai",Poor
YS Chahal,"Dr DY Patil Sports Academy, Mumbai",Bad
Yash Dayal,"Dr DY Patil Sports Academy, Mumbai",Bad
A Nortje,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
A Raghuvanshi,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
AD Russell,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
AM Rahane,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
AR Patel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
Abishek Porel,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
DA Warner,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
DJ Mitchell,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Good
I Sharma,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
MA Starc,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
MR Marsh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
MS Dhoni,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Good
PD Salt,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Poor
PP Shaw,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
R Ravindra,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
RA Jadeja,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Average
RD Gaikwad,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
RK Singh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Average
RR Pant,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
Ramandeep Singh,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
Rasikh Salam,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
S Dube,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Poor
SP Narine,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Excellent
SS Iyer,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Poor
Sameer Rizvi,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
Sumit Kumar,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
T Stubbs,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
VR Iyer,Dr YS Rajasekhara Reddy Cricket Stadium (Visakhapatnam),Bad
A Badoni,"Eden Gardens, Kolkata",Average
A Kamboj,"Eden Gardens, Kolkata",Bad
A Raghuvanshi,"Eden Gardens, Kolkata",Poor
AD Russell,"Eden Gardens, Kolkata",Average
AK Markram,"Eden Gardens, Kolkata",Good
AM Rahane,"Eden Gardens, Kolkata",Excellent
AR Patel,"Eden Gardens, Kolkata",Poor
AS Roy,"Eden Gardens, Kolkata",Bad
Abdul Samad,"Eden Gardens, Kolkata",Poor
Abhishek Sharma,"Eden Gardens, Kolkata",Good
Abishek Porel,"Eden Gardens, Kolkata",Poor
Akash Deep,"Eden Gardens, Kolkata",Poor
Anuj Rawat,"Eden Gardens, Kolkata",Bad
Arshad Khan (2),"Eden Gardens, Kolkata",Bad
C Green,"Eden Gardens, Kolkata",Bad
CV Varun,"Eden Gardens, Kolkata",Bad
D Padikkal,"Eden Gardens, Kolkata",Average
D Wiese,"Eden Gardens, Kolkata",Bad
DA Miller,"Eden Gardens, Kolkata",Excellent
DJ Hooda,"Eden Gardens, Kolkata",Average
DJ Willey,"Eden Gardens, Kolkata",Average
DP Conway,"Eden Gardens, Kolkata",Excellent
Dhruv Jurel,"Eden Gardens, Kolkata",Bad
E Lewis,"Eden Gardens, Kolkata",Bad
F du Plessis,"Eden Gardens, Kolkata",Poor
GJ Maxwell,"Eden Gardens, Kolkata",Bad
H Klaasen,"Eden Gardens, Kolkata",Good
HC Brook,"Eden Gardens, Kolkata",Excellent
HH Pandya,"Eden Gardens, Kolkata",Average
HV Patel,"Eden Gardens, Kolkata",Bad
Harpreet Brar,"Eden Gardens, Kolkata",Poor
Ishan Kishan,"Eden Gardens, Kolkata",Excellent
J Fraser-McGurk,"Eden Gardens, Kolkata",Poor
JC Buttler,"Eden Gardens, Kolkata",Excellent
JJ Roy,"Eden Gardens, Kolkata",Good
JM Bairstow,"Eden Gardens, Kolkata",Excellent
JM Sharma,"Eden Gardens, Kolkata",Average
K Gowtham,"Eden Gardens, Kolkata",Poor
KD Karthik,"Eden Gardens, Kolkata",Average
KH Pandya,"Eden Gardens, Kolkata",Bad
KL Rahul,"Eden Gardens, Kolkata",Excellent
KS Sharma,"Eden Gardens, Kolkata",Bad
KV Sharma,"Eden Gardens, Kolkata",Poor
Kuldeep Yadav,"Eden Gardens, Kolkata",Good
Kumar Kushagra,"Eden Gardens, Kolkata",Bad
LB Williams,"Eden Gardens, Kolkata",Bad
LH Ferguson,"Eden Gardens, Kolkata",Bad
LS Livingstone,"Eden Gardens, Kolkata",Poor
M Jansen,"Eden Gardens, Kolkata",Bad
M Shahrukh Khan,"Eden Gardens, Kolkata",Average
M Vohra,"Eden Gardens, Kolkata",Poor
MA Agarwal,"Eden Gardens, Kolkata",Average
MA Starc,"Eden Gardens, Kolkata",Bad
MG Bracewell,"Eden Gardens, Kolkata",Poor
MK Lomror,"Eden Gardens, Kolkata",Bad
MP Stoinis,"Eden Gardens, Kolkata",Bad
MS Dhoni,"Eden Gardens, Kolkata",Bad
MS Wade,"Eden Gardens, Kolkata",Good
Mandeep Singh,"Eden Gardens, Kolkata",Bad
N Jagadeesan,"Eden Gardens, Kolkata",Poor
N Pooran,"Eden Gardens, Kolkata",Excellent
N Rana,"Eden Gardens, Kolkata",Average
N Wadhera,"Eden Gardens, Kolkata",Bad
Naman Dhir,"Eden Gardens, Kolkata",Poor
Naveen-ul-Haq,"Eden Gardens, Kolkata",Bad
P Simran Singh,"Eden Gardens, Kolkata",Good
PBB Rajapaksa,"Eden Gardens, Kolkata",Bad
PD Salt,"Eden Gardens, Kolkata",Excellent
PJ Cummins,"Eden Gardens, Kolkata",Bad
PN Mankad,"Eden Gardens, Kolkata",Average
PP Chawla,"Eden Gardens, Kolkata",Bad
PP Shaw,"Eden Gardens, Kolkata",Poor
PVD Chameera,"Eden Gardens, Kolkata",Poor
Q de Kock,"Eden Gardens, Kolkata",Poor
R Ashwin,"Eden Gardens, Kolkata",Bad
R Dhawan,"Eden Gardens, Kolkata",Poor
R Parag,"Eden Gardens, Kolkata",Poor
R Powell,"Eden Gardens, Kolkata",Average
RA Jadeja,"Eden Gardens, Kolkata",Poor
RA Tripathi,"Eden Gardens, Kolkata",Poor
RD Gaikwad,"Eden Gardens, Kolkata",Good
RG Sharma,"Eden Gardens, Kolkata",Poor
RK Singh,"Eden Gardens, Kolkata",Average
RM Patidar,"Eden Gardens, Kolkata",Excellent
RR Pant,"Eden Gardens, Kolkata",Average
RR Rossouw,"Eden Gardens, Kolkata",Average
Rahmanullah Gurbaz,"Eden Gardens, Kolkata",Good
Ramandeep Singh,"Eden Gardens, Kolkata",Poor
Rasikh Salam,"Eden Gardens, Kolkata",Bad
Ravi Bishnoi,"Eden Gardens, Kolkata",Bad
S Dhawan,"Eden Gardens, Kolkata",Excellent
S Dube,"Eden Gardens, Kolkata",Excellent
SA Yadav,"Eden Gardens, Kolkata",Poor
SD Hope,"Eden Gardens, Kolkata",Bad
SM Curran,"Eden Gardens, Kolkata",Bad
SN Thakur,"Eden Gardens, Kolkata",Poor
SO Hetmyer,"Eden Gardens, Kolkata",Bad
SP Narine,"Eden Gardens, Kolkata",Poor
SS Iyer,"Eden Gardens, Kolkata",Average
SS Prabhudessai,"Eden Gardens, Kolkata",Average
SV Samson,"Eden Gardens, Kolkata",Good
Shahbaz Ahmed,"Eden Gardens, Kolkata",Bad
Shashank Singh,"Eden Gardens, Kolkata",Excellent
Shubman Gill,"Eden Gardens, Kolkata",Excellent
T Stubbs,"Eden Gardens, Kolkata",Bad
TA Boult,"Eden Gardens, Kolkata",Bad
TH David,"Eden Gardens, Kolkata",Bad
Tilak Varma,"Eden Gardens, Kolkata",Good
UT Yadav,"Eden Gardens, Kolkata",Bad
V Kohli,"Eden Gardens, Kolkata",Average
V Shankar,"Eden Gardens, Kolkata",Excellent
VG Arora,"Eden Gardens, Kolkata",Bad
VR Iyer,"Eden Gardens, Kolkata",Average
WG Jacks,"Eden Gardens, Kolkata",Excellent
WP Saha,"Eden Gardens, Kolkata",Bad
YBK Jaiswal,"Eden Gardens, Kolkata",Excellent
AM Rahane,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
Arshdeep Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
Ashutosh Sharma,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
Atharva Taide,Himachal Pradesh Cricket Association Stadium (Dharamsala),Good
C Green,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
D Padikkal,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
DA Warner,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
DJ Mitchell,Himachal Pradesh Cricket Association Stadium (Dharamsala),Good
Dhruv Jurel,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
F du Plessis,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
HV Patel,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
Harpreet Brar,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
JC Buttler,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
JM Bairstow,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
JM Sharma,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
K Rabada,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
KD Karthik,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
LS Livingstone,Himachal Pradesh Cricket Association Stadium (Dharamsala),Good
M Shahrukh Khan,Himachal Pradesh Cricket Association Stadium (Dharamsala),Average
MJ Santner,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
MK Lomror,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
MM Ali,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
MS Dhoni,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
P Simran Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
PD Salt,Himachal Pradesh Cricket Association Stadium (Dharamsala),Average
PP Shaw,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
R Parag,Himachal Pradesh Cricket Association Stadium (Dharamsala),Average
RA Jadeja,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
RD Chahar,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
RD Gaikwad,Himachal Pradesh Cricket Association Stadium (Dharamsala),Good
RJ Gleeson,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
RM Patidar,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
RR Rossouw,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
S Dhawan,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
S Dube,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
SM Curran,Himachal Pradesh Cricket Association Stadium (Dharamsala),Average
SN Thakur,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
SO Hetmyer,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
SV Samson,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
Shashank Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),Good
Swapnil Singh,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
TA Boult,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
TU Deshpande,Himachal Pradesh Cricket Association Stadium (Dharamsala),Bad
V Kohli,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
WG Jacks,Himachal Pradesh Cricket Association Stadium (Dharamsala),Poor
YBK Jaiswal,Himachal Pradesh Cricket Association Stadium (Dharamsala),Excellent
A Badoni,"M.Chinnaswamy Stadium, Bengaluru",Poor
A Nortje,"M.Chinnaswamy Stadium, Bengaluru",Average
AD Russell,"M.Chinnaswamy Stadium, Bengaluru",Bad
AK Markram,"M.Chinnaswamy Stadium, Bengaluru",Good
AM Rahane,"M.Chinnaswamy Stadium, Bengaluru",Good
AR Patel,"M.Chinnaswamy Stadium, Bengaluru",Good
AT Rayudu,"M.Chinnaswamy Stadium, Bengaluru",Poor
Abdul Basith,"M.Chinnaswamy Stadium, Bengaluru",Bad
Abdul Samad,"M.Chinnaswamy Stadium, Bengaluru",Good
Abhishek Sharma,"M.Chinnaswamy Stadium, Bengaluru",Good
Abishek Porel,"M.Chinnaswamy Stadium, Bengaluru",Bad
Aman Hakim Khan,"M.Chinnaswamy Stadium, Bengaluru",Poor
Anuj Rawat,"M.Chinnaswamy Stadium, Bengaluru",Poor
Arshad Khan,"M.Chinnaswamy Stadium, Bengaluru",Poor
Avesh Khan,"M.Chinnaswamy Stadium, Bengaluru",Bad
B Sai Sudharsan,"M.Chinnaswamy Stadium, Bengaluru",Bad
C Green,"M.Chinnaswamy Stadium, Bengaluru",Poor
D Padikkal,"M.Chinnaswamy Stadium, Bengaluru",Average
D Wiese,"M.Chinnaswamy Stadium, Bengaluru",Poor
DA Miller,"M.Chinnaswamy Stadium, Bengaluru",Poor
DA Warner,"M.Chinnaswamy Stadium, Bengaluru",Poor
DJ Hooda,"M.Chinnaswamy Stadium, Bengaluru",Bad
DJ Mitchell,"M.Chinnaswamy Stadium, Bengaluru",Bad
DJ Willey,"M.Chinnaswamy Stadium, Bengaluru",Bad
DP Conway,"M.Chinnaswamy Stadium, Bengaluru",Excellent
Dhruv Jurel,"M.Chinnaswamy Stadium, Bengaluru",Good
F du Plessis,"M.Chinnaswamy Stadium, Bengaluru",Good
GJ Maxwell,"M.Chinnaswamy Stadium, Bengaluru",Average
H Klaasen,"M.Chinnaswamy Stadium, Bengaluru",Excellent
HR Shokeen,"M.Chinnaswamy Stadium, Bengaluru",Bad
HV Patel,"M.Chinnaswamy Stadium, Bengaluru",Bad
Harpreet Brar,"M.Chinnaswamy Stadium, Bengaluru",Bad
I Sharma,"M.Chinnaswamy Stadium, Bengaluru",Bad
Ishan Kishan,"M.Chinnaswamy Stadium, Bengaluru",Poor
J Fraser-McGurk,"M.Chinnaswamy Stadium, Bengaluru",Average
JC Buttler,"M.Chinnaswamy Stadium, Bengaluru",Bad
JD Unadkat,"M.Chinnaswamy Stadium, Bengaluru",Bad
JJ Roy,"M.Chinnaswamy Stadium, Bengaluru",Excellent
JM Bairstow,"M.Chinnaswamy Stadium, Bengaluru",Bad
JM Sharma,"M.Chinnaswamy Stadium, Bengaluru",Average
KD Karthik,"M.Chinnaswamy Stadium, Bengaluru",Poor
KH Pandya,"M.Chinnaswamy Stadium, Bengaluru",Bad
KL Rahul,"M.Chinnaswamy Stadium, Bengaluru",Poor
KR Mayers,"M.Chinnaswamy Stadium, Bengaluru",Bad
KV Sharma,"M.Chinnaswamy Stadium, Bengaluru",Bad
Kuldeep Yadav,"M.Chinnaswamy Stadium, Bengaluru",Bad
Kumar Kushagra,"M.Chinnaswamy Stadium, Bengaluru",Bad
LS Livingstone,"M.Chinnaswamy Stadium, Bengaluru",Poor
Lalit Yadav,"M.Chinnaswamy Stadium, Bengaluru",Bad
M Shahrukh Khan,"M.Chinnaswamy Stadium, Bengaluru",Good
MA Wood,"M.Chinnaswamy Stadium, Bengaluru",Bad
MD Shanaka,"M.Chinnaswamy Stadium, Bengaluru",Bad
MG Bracewell,"M.Chinnaswamy Stadium, Bengaluru",Average
MJ Santner,"M.Chinnaswamy Stadium, Bengaluru",Bad
MJ Suthar,"M.Chinnaswamy Stadium, Bengaluru",Bad
MK Lomror,"M.Chinnaswamy Stadium, Bengaluru",Poor
MK Pandey,"M.Chinnaswamy Stadium, Bengaluru",Excellent
MM Ali,"M.Chinnaswamy Stadium, Bengaluru",Poor
MM Sharma,"M.Chinnaswamy Stadium, Bengaluru",Bad
MP Stoinis,"M.Chinnaswamy Stadium, Bengaluru",Excellent
MR Marsh,"M.Chinnaswamy Stadium, Bengaluru",Bad
MS Dhoni,"M.Chinnaswamy Stadium, Bengaluru",Poor
Mayank Dagar,"M.Chinnaswamy Stadium, Bengaluru",Bad
Mohammed Siraj,"M.Chinnaswamy Stadium, Bengaluru",Bad
