bowler,venue,matches_played,total_runs_conceded,balls_bowled,economy,total_wickets,Bowling_Strike_Rate,Performance
DL Chahar,"MA Chidambaram Stadium, Chennai",10,260,198,7.88,13,15.23076923076923,Good
DL Chahar,"Narendra Modi Stadium, Ahmedabad",2,71,48,8.88,1,48.0,Average
DL Chahar,"Rajiv Gandhi International Stadium, Hyderabad",1,32,19,10.11,1,19.0,Average
DL Chahar,"Wankhede Stadium, Mumbai",1,10,6,10.0,0,NA,Bad
DR Sams,"Brabourne Stadium, Mumbai",2,75,44,10.23,1,44.0,Bad
DR Sams,"Dr DY Patil Sports Academy, Mumbai",4,120,104,6.92,6,17.333333333333332,Excellent
DR Sams,"Maharashtra Cricket Association Stadium, Pune",1,50,19,15.79,1,19.0,Average
DR Sams,"Wankhede Stadium, Mumbai",4,130,107,7.29,6,17.833333333333332,Good
FA Allen,"Brabourne Stadium, Mumbai",1,46,24,11.5,1,24.0,Poor
Fazalhaq Farooqi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,14,19,4.42,1,19.0,Excellent
Fazalhaq Farooqi,"Narendra Modi Stadium, Ahmedabad",1,31,19,9.79,1,19.0,Average
Fazalhaq Farooqi,"Rajiv Gandhi International Stadium, Hyderabad",2,74,48,9.25,2,24.0,Poor
Fazalhaq Farooqi,"Wankhede Stadium, Mumbai",3,110,76,8.68,2,38.0,Average
G Coetzee,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,33,21,9.43,1,21.0,Poor
G Coetzee,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,34,26,7.85,3,8.666666666666666,Excellent
G Coetzee,"Narendra Modi Stadium, Ahmedabad",1,29,24,7.25,2,12.0,Excellent
G Coetzee,"Rajiv Gandhi International Stadium, Hyderabad",1,61,27,13.56,1,27.0,Bad
G Coetzee,"Sawai Mansingh Stadium, Jaipur",1,25,15,10.0,0,NA,Bad
G Coetzee,"Wankhede Stadium, Mumbai",5,175,103,10.19,6,17.166666666666668,Average
GD Phillips,"Rajiv Gandhi International Stadium, Hyderabad",2,20,18,6.67,1,18.0,Excellent
GJ Maxwell,"Arun Jaitley Stadium, Delhi",1,15,10,9.0,0,NA,Poor
GJ Maxwell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,3,6,3.0,1,6.0,Excellent
GJ Maxwell,"Brabourne Stadium, Mumbai",2,28,18,9.33,1,18.0,Average
GJ Maxwell,"Dr DY Patil Sports Academy, Mumbai",2,40,31,7.74,2,15.5,Good
GJ Maxwell,"M.Chinnaswamy Stadium, Bengaluru",6,146,104,8.42,7,14.857142857142858,Good
GJ Maxwell,"MA Chidambaram Stadium, Chennai",1,7,6,7.0,0,NA,Good
GJ Maxwell,"Maharashtra Cricket Association Stadium, Pune",2,26,30,5.2,2,15.0,Excellent
GJ Maxwell,"Narendra Modi Stadium, Ahmedabad",2,45,36,7.5,1,36.0,Good
GJ Maxwell,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,5,6,5.0,0,NA,Excellent
